id,element_in,element_out,entry,event,kind,result,web_name_x,web_name_y,total_points_in,total_points_out
198,356,28,289293,10,w,di,Matheus N.,Bailey,12.0,9.0
199,611,28,289293,10,w,a,Szmodics,Bailey,18.0,9.0
200,625,28,289293,10,w,do,Gündogan,Bailey,15.0,9.0
201,434,28,289293,10,w,do,Hudson-Odoi,Bailey,21.0,9.0
202,26,104,289293,10,w,a,Alex Moreno,Pinnock,13.0,11.0
203,236,104,289293,10,w,do,Tarkowski,Pinnock,22.0,11.0
204,257,104,289293,10,w,do,Tete,Pinnock,18.0,11.0
205,200,104,289293,10,w,di,Guéhi,Pinnock,19.0,11.0
206,434,433,184679,10,f,a,Hudson-Odoi,Gibbs-White,21.0,20.0
207,247,611,289293,11,w,di,Iwobi,Szmodics,34.0,15.0
208,399,219,184679,11,w,a,Hall,Branthwaite,7.0,19.0
209,70,219,184679,11,w,di,Kerkez,Branthwaite,19.0,19.0
210,247,323,184585,11,w,di,Iwobi,Gravenberch,34.0,11.0
211,70,210,283372,11,w,a,Kerkez,Mitchell,19.0,9.0
212,70,210,283372,11,w,di,Kerkez,Mitchell,19.0,9.0
213,247,239,324701,11,w,a,Iwobi,Adama,34.0,4.0
214,506,44,228518,11,w,a,Van de Ven,Konsa,1.0,12.0
215,57,329,228518,11,w,a,Tielemans,Mac Allister,9.0,8.0
216,14,293,228518,11,w,a,Ramsdale,Hermansen,0.0,9.0
217,157,329,228518,11,w,do,Caicedo,Mac Allister,14.0,8.0
218,27,11,317751,11,w,a,Archer,Nketiah,9.0,2.0
219,625,274,318371,11,f,a,Gündogan,Hutchinson,10.0,16.0
220,94,625,318371,11,f,a,Janelt,Gündogan,11.0,10.0
221,364,94,318371,12,w,di,Amad,Janelt,25.0,6.0
222,560,434,184679,12,w,a,Neto,Hudson-Odoi,4.0,10.0
223,239,57,228518,12,w,a,Adama,Tielemans,3.0,8.0
224,152,14,228518,12,w,a,Arrizabalaga,Ramsdale,12.0,0.0
225,364,117,324701,12,w,a,Amad,Buonanotte,25.0,11.0
226,107,220,324701,12,w,a,Thiago,Calvert-Lewin,5.0,8.0
227,409,418,324701,12,w,a,Livramento,Trippier,4.0,2.0
228,83,356,289293,12,w,a,Tavernier,Matheus N.,15.0,8.0
229,71,356,289293,12,w,do,Kluivert,Matheus N.,27.0,8.0
230,28,356,289293,12,w,do,Bailey,Matheus N.,6.0,8.0
231,346,356,289293,12,w,do,Doku,Matheus N.,15.0,8.0
232,324,356,289293,12,w,do,Jones,Matheus N.,10.0,8.0
233,257,26,289293,12,w,a,Tete,Alex Moreno,10.0,3.0
234,241,26,289293,12,w,do,Bassey,Alex Moreno,4.0,3.0
235,236,26,289293,12,w,do,Tarkowski,Alex Moreno,13.0,3.0
236,144,498,184679,12,f,a,Van Hecke,Romero,5.0,1.0
237,578,144,184679,12,f,a,Calafiori,Van Hecke,6.0,5.0
238,621,94,318371,12,f,a,João Félix,Janelt,9.0,6.0
239,144,88,325685,12,f,a,Van Hecke,Collins,5.0,18.0
240,293,142,184585,13,w,a,Hermansen,Steele,6.0,0.0
241,220,123,184679,13,w,a,Calvert-Lewin,Ferguson,6.0,4.0
242,421,123,184679,13,w,do,Wilson,Ferguson,2.0,4.0
243,363,228,318371,13,w,a,Walker,Keane,3.0,0.0
244,220,389,228518,13,w,di,Calvert-Lewin,Zirkzee,6.0,15.0
245,26,24,228518,13,w,a,Alex Moreno,White,2.0,0.0
246,421,389,228518,13,w,a,Wilson,Zirkzee,2.0,15.0
247,557,239,228518,13,w,a,Mario Jr.,Adama,4.0,2.0
248,434,239,228518,13,w,di,Hudson-Odoi,Adama,8.0,2.0
249,267,24,228518,13,w,do,Davis,White,5.0,0.0
250,554,152,228518,13,w,a,José Sá,Arrizabalaga,0.0,11.0
251,453,38,228518,13,w,a,Armstrong,Duran,8.0,9.0
252,553,239,228518,13,w,do,J.Gomes,Adama,5.0,2.0
253,388,70,283372,13,w,a,Wan-Bissaka,Kerkez,9.0,17.0
254,488,201,289293,13,w,a,Forster,Henderson,8.0,10.0
255,434,83,289293,13,w,a,Hudson-Odoi,Tavernier,8.0,13.0
256,26,257,289293,13,w,di,Alex Moreno,Tete,2.0,7.0
257,88,257,289293,13,w,a,Collins,Tete,12.0,7.0
258,403,354,317751,13,f,a,Joelinton,Kovačić,5.0,0.0
259,415,172,184585,13,f,a,Schär,James,9.0,0.0
260,267,574,184679,14,w,a,Davis,Milenković,3.0,7.0
261,52,574,184679,14,w,do,Pau,Milenković,6.0,7.0
262,70,574,184679,14,w,do,Kerkez,Milenković,10.0,7.0
263,389,421,228518,14,w,a,Zirkzee,Wilson,2.0,2.0
264,71,557,228518,14,w,a,Kluivert,Mario Jr.,5.0,3.0
265,201,554,228518,14,w,a,Henderson,José Sá,8.0,0.0
266,267,26,228518,14,w,di,Davis,Alex Moreno,3.0,1.0
267,520,145,228518,14,w,a,Emerson,Veltman,2.0,0.0
268,152,554,228518,14,w,do,Arrizabalaga,José Sá,10.0,0.0
269,553,557,228518,14,w,do,J.Gomes,Mario Jr.,3.0,3.0
270,117,557,228518,14,w,di,Buonanotte,Mario Jr.,3.0,3.0
271,117,177,324701,14,w,a,Buonanotte,Madueke,3.0,14.0
272,236,409,324701,14,w,a,Tarkowski,Livramento,6.0,1.0
